Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MAE,RMSE
Random Forest,0.765,0.7701121396571834,0.765,0.7673142424515162,0.9000329861111112,0.2405,0.5014977567247934
ANN,0.7005,0.7417235179698294,0.7005,0.7131425170676479,0.8650403977272728,0.3095,0.5740209055426466
